developer_comments,target,ID
angelic-pretty,Angelic Pretty,ecb829b3-8a9e-4348-8945-b985ede7f03a
baby-the-stars-shine-bright,"Baby, the Stars Shine Bright",0e29621e-5cd5-4814-957c-903808652c6c
innocent-world,Innocent World,1d849c42-a991-48e5-a1cc-dde246782651
alice-and-the-pirates,Alice and the Pirates,d6f7698e-bdf2-4b91-825b-4ebabbca75d0
metamorphose-temps-de-fille,Metamorphose Temps de Fille,8c0a5cd7-15a2-4c36-a59a-19062c1ceb9b
jane-marple,Jane Marple,33378176-432a-4676-8f99-4e1167de9bdf
victorian-maiden,Victorian Maiden,ef5cf9ed-b62e-47fb-a2ed-ad25c3c35d17
atelier-boz,Atelier Boz,f60edf85-4466-4369-ae4a-753073f11b58
excentrique,Excentrique,bf16c13c-1775-47c5-8d95-0c57895de258
bodyline,Bodyline,9c9dab7d-cbe4-4817-8f0b-8f3a2001cac2
moi-meme-moitie,Moi-même-Moitié,53da5b54-735a-4912-ae27-b1a0fc1659ff
juliette-et-justine,Juliette et Justine,19cd58ae-7ea2-41f1-a145-9caf83cde401
mary-magdalene,Mary Magdalene,4da985ce-4d52-40ad-ba7f-18d6650926bc
putumayo,Putumayo,8a4bfb01-81e7-4b19-994f-48b40716ea93
antique-beast,Antique Beast,0751c2d7-bc5b-4ec2-a69a-315cf8305162
atelier-pierrot,Atelier Pierrot,1205a7b6-c82b-4744-baaf-4465be8317d7
black-peace-now,Black Peace Now,6ed4636f-561b-4161-ba78-14e58ca83ca2
beth,Beth,642e97e5-2dd8-4a5f-bd54-c6ce7c846053
emily-shirley-temple-cute,Emily Temple Cute,ef82cf8e-38af-4ddc-8cf3-f43b1c3b29a1
indie-brand,Indie Brand,b24938af-de30-4f81-8b57-c2192ca6c507
chinese-indie,Chinese Indie Brand,be220d8b-bffc-42a4-a073-9c886e6fe79f
h-naoto,h.NAOTO,e8c88299-fa80-468a-a719-e86501237c88
maxicimam,MAXICIMAM,6b0cb2ca-8f53-4320-b2d7-232c3e333497
cornet,Cornet,f454192f-93b8-4635-9409-b066c8d24c69
grimoire,Grimoire,66bc41c7-11f8-4dd2-a43c-8a0312d12a3f
heart-e,Heart E,5f422ee1-11b8-4593-a6d3-9eef471ae10e
6dokidoki,6%DOKIDOKI,8025f54f-05a3-4ea5-bfa9-08dc4a4957f8
physical-drop,Physical Drop,d6702e87-d724-4b2f-9b2d-3a454d0f0dc3
millefleurs,Millefleurs,bc40549b-db09-4c03-8461-e5b37766009e
pink-house,Pink House,68d9a41d-0297-4f01-96be-b2c6d2b359a1
vivienne-westwood,Vivienne Westwood,d7f9dfb9-49a1-475c-825a-6d49d7fe6af7
haenuli,Haenuli,5aaa0ed0-7203-4ead-965c-46009ded4225
surface-spell,SurfaceSpell,db054a75-a12c-49c3-b97d-7589f238b31e
chantilly,Enchantlic Enchantilly,00d02505-12c9-4785-94f7-a57eacd70fd0
sheglit,Sheglit,3d36fee9-b2e6-4eae-a486-6f89b78306e4
milk,MILK,dd82e2a2-8ed8-444f-a75f-85174eacfe71
lief,Lief,7c476701-e8de-4c28-83bc-e70faef88256
chess-story,Chess Story,7b0096c0-59f8-4e05-a80c-a7701639072d
krad-lanrete,Krad Lanrete,5e5d054c-ddc1-49f4-8603-e8477a16049d
offbrand,Offbrand,1117e0da-4f1c-4300-a266-f78fcb4770cd
infanta,Infanta,03eaf969-7a92-4696-8e3c-0957a1b6d56c
triple-fortune,Triple Fortune,8320e562-5f82-4582-a686-c6ead83d3ff0
baby-secret-love,Baby Secret Love,e558195a-d023-4e09-9fa3-a3f71dcbb3d0
mr,MR,ec0f1c3b-8199-487a-b90b-7e0334946ed8
shirley-temple,Shirley Temple,4997efc7-a6ab-49d3-8896-7358fac58b49
miho-matsuda,Miho Matsuda,81f17db0-90b6-49a6-b251-3b9a96e031cf
leur-getter,Leur Getter,04952e3f-6aa5-4d8b-90f2-4eabb062dbb3
q-pot,Q-pot,3533676f-8dc0-4a70-8e3c-e7df2fa56494
peppermint-fox,Peppermint Fox,fddff2c5-a4ab-4c29-bf57-6790c56ba0ad
soufflesong,Soufflesong,a382da1b-262f-4ff0-8f58-9e767dab4769
axes-femme,Axes Femme,116ca4dc-1e10-4290-b03d-37f72e4ceb73
marble,Marble,4ce98f2f-5d17-4fd0-9207-4445840ed215
the-black-ribbon,The Black Ribbon,66bd5ee8-d056-40d7-9d7b-3cde0d4c94dd
wonderful-world,Wonderful World,b44f3f0b-4b2d-492b-84d5-104240faf30c
